"orderName","numOfOrder","numOfaccept","numOfReject","WhiteBread","WhiteBreadNeed","Ham","HamNeed","OnionNeed","Onion","Pickle","PickleNeed","Tuna","TunaNeed","Spread","SpreadNeed"
"HamSandwich","1620","1190","430","100000.0","136080.0","100000.0","81000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","9720.0"
"HamSandwich","2800","810","1990","136080.0","235200.0","0.0","140000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16800.0"
"HamSandwich","3780","2800","980","235200.0","317520.0","140000.0","189000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22680.0"
"HamSandwich","4760","3780","980","317520.0","399840.0","189000.0","238000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","28560.0"
