"orderName","numOfOrder","numOfaccept","numOfReject","WhiteBread","WhiteBreadNeed","Ham","HamNeed","OnionNeed","Onion","Pickle","PickleNeed","Tuna","TunaNeed","Spread","SpreadNeed"
"HamSandwich","8100","595","7505","50000.0","680400.0","50000.0","405000.0","0.0","0.0","0.0","0.0","0.0","0.0","50000.0","48600.0"
"HamSandwich","14000","7738","6262","680400.0","1176000.0","405000.0","700000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","84000.0"
"HamSandwich","18900","0","18900","1176000.0","1587600.0","700000.0","945000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","113400.0"
"HamSandwich","23800","0","23800","1587600.0","1999200.0","945000.0","1190000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","142800.0"
