"orderName","numOfOrder","numOfaccept","numOfReject","WhiteBread","WhiteBreadNeed","Ham","HamNeed","OnionNeed","Onion","Pickle","PickleNeed","Tuna","TunaNeed","Spread","SpreadNeed"
"HamSandwich","1200","1200","0","150000.0","100800.0","150000.0","60000.0","0.0","0.0","0.0","0.0","0.0","0.0","150000.0","7200.0"
"HamSandwich","1260","585","675","0.0","105840.0","0.0","63000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7560.0"
"HamSandwich","1120","1120","0","105840.0","94080.0","63000.0","56000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6720.0"
"HamSandwich","980","140","840","0.0","82320.0","0.0","49000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5880.0"
