"orderName","numOfOrder","numOfaccept","numOfReject","WhiteBread","WhiteBreadNeed","Ham","HamNeed","OnionNeed","Onion","Pickle","PickleNeed","Tuna","TunaNeed","Spread","SpreadNeed"
"HamSandwich","6000","595","5405","50000.0","504000.0","50000.0","300000.0","0.0","0.0","0.0","0.0","0.0","0.0","50000.0","36000.0"
"HamSandwich","7000","6000","1000","504000.0","588000.0","300000.0","350000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42000.0"
"HamSandwich","7000","7000","0","588000.0","588000.0","350000.0","350000.0","0.0","0.0","0.0","0.0","0.0","0.0","42000.0","42000.0"
"HamSandwich","7000","0","7000","0.0","588000.0","0.0","350000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","42000.0"
