"Week","WhiteBread","Ham","Onion","Pickle","Tuna","Spread"
"1","100000.0","100000.0","0.0","0.0","0.0","100000.0"
"1","68000.0","0.0","0.0","0.0","0.0","0.0"
"2","95680.0","76000.0","0.0","0.0","0.0","0.0"
"3","39440.0","83000.0","0.0","0.0","0.0","0.0"
"4","151160.0","78000.0","0.0","0.0","0.0","0.0"
"5","162960.0","32500.0","0.0","0.0","0.0","0.0"
"6","149560.0","96500.0","0.0","0.0","0.0","0.0"
"7","65560.0","111000.0","0.0","0.0","0.0","0.0"
"8","184800.0","106500.0","0.0","0.0","0.0","0.0"
