"orderName","numOfOrder","numOfaccept","numOfReject","WhiteBread","WhiteBreadNeed","Ham","HamNeed","OnionNeed","Onion","Pickle","PickleNeed","Tuna","TunaNeed","Spread","SpreadNeed"
"HamSandwich","1000","1000","0","100000.0","84000.0","100000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","6000.0"
"HamSandwich","1580","1000","580","100000.0","132720.0","0.0","79000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9480.0"
"HamSandwich","1400","0","1400","68000.0","117600.0","0.0","70000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8400.0"
"HamSandwich","1400","1000","400","100720.0","117600.0","79000.0","70000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8400.0"
"HamSandwich","1400","580","820","17600.0","117600.0","70000.0","70000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8400.0"
"HamSandwich","1400","1000","400","86480.0","117600.0","41000.0","70000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8400.0"
"HamSandwich","1400","300","1100","117600.0","117600.0","10500.0","70000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8400.0"
"HamSandwich","1400","1000","400","115120.0","117600.0","60500.0","70000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8400.0"
