"Week","WhiteBread","Ham","Onion","Pickle","Tuna","Spread"
"1","100000.0","100000.0","0.0","0.0","0.0","100000.0"
"1","209960.0","84500.0","0.0","0.0","0.0","0.0"
"2","268720.0","119500.0","0.0","0.0","0.0","0.0"
"3","172160.0","142500.0","0.0","0.0","0.0","0.0"
"4","85720.0","93000.0","0.0","0.0","0.0","0.0"
"5","129440.0","40000.0","0.0","0.0","0.0","0.0"
"6","151156.0","48450.0","0.0","0.0","0.0","0.0"
"7","213320.0","162500.0","0.0","0.0","0.0","0.0"
"8","192280.0","160000.0","0.0","0.0","0.0","0.0"
