"orderName","numOfOrder","numOfaccept","numOfReject","WhiteBread","WhiteBreadNeed","Ham","HamNeed","OnionNeed","Onion","Pickle","PickleNeed","Tuna","TunaNeed","Spread","SpreadNeed"
"HamSandwich","5000","1190","3810","100000.0","420000.0","100000.0","250000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","30000.0"
"HamSandwich","7600","1190","6410","100000.0","638400.0","100000.0","380000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45600.0"
"HamSandwich","8300","0","8300","0.0","697200.0","0.0","415000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","49800.0"
"HamSandwich","9000","6500","2500","638320.0","756000.0","337500.0","450000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","54000.0"
"HamSandwich","9700","7320","2380","697120.0","814800.0","372500.0","485000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","58200.0"
"HamSandwich","10400","1680","8720","663600.0","873600.0","434000.0","520000.0","0.0","0.0","0.0","0.0","0.0","0.0","7280.0","62400.0"
"HamSandwich","11100","8000","3100","698960.0","932400.0","462500.0","555000.0","0.0","0.0","0.0","0.0","0.0","0.0","55400.0","66600.0"
"HamSandwich","11800","3440","8360","310880.0","991200.0","147500.0","590000.0","0.0","0.0","0.0","0.0","0.0","0.0","62400.0","70800.0"
