"Week","WhiteBread","Ham","Onion","Pickle","Tuna","Spread"
"1","100000.0","100000.0","0.0","0.0","0.0","100000.0"
"1","0.0","0.0","0.0","0.0","0.0","0.0"
"2","638320.0","337500.0","0.0","0.0","0.0","0.0"
"3","697120.0","372500.0","0.0","0.0","0.0","0.0"
"4","663600.0","434000.0","0.0","0.0","0.0","7280.0"
"5","698960.0","462500.0","0.0","0.0","0.0","55400.0"
"6","310880.0","147500.0","0.0","0.0","0.0","62400.0"
"7","0.0","0.0","0.0","0.0","0.0","0.0"
"8","930640.0","0.0","0.0","0.0","0.0","0.0"
