"Week","WhiteBread","Ham","Onion","Pickle","Tuna","Spread"
"1","100000.0","100000.0","0.0","0.0","0.0","100000.0"
"1","0.0","0.0","0.0","0.0","0.0","0.0"
"2","713920.0","383000.0","0.0","0.0","0.0","0.0"
"3","587920.0","308000.0","0.0","0.0","0.0","0.0"
"4","294000.0","215000.0","0.0","0.0","0.0","0.0"
"5","420080.0","292000.0","0.0","0.0","0.0","28280.0"
"6","385304.0","191300.0","0.0","0.0","0.0","41996.0"
"7","562800.0","290000.0","0.0","0.0","0.0","42000.0"
"8","524080.0","350000.0","0.0","0.0","0.0","22960.0"
