"Week","WhiteBread","Ham","Onion","Pickle","Tuna","Spread"
"1","100000.0","100000.0","0.0","0.0","0.0","100000.0"
"1","209960.0","84500.0","0.0","0.0","0.0","0.0"
"2","356920.0","170500.0","0.0","0.0","0.0","0.0"
"3","229280.0","175000.0","0.0","0.0","0.0","0.0"
"4","141160.0","129500.0","0.0","0.0","0.0","0.0"
"5","273920.0","125000.0","0.0","0.0","0.0","0.0"
"6","293956.0","126450.0","0.0","0.0","0.0","0.0"
"7","230036.0","171450.0","0.0","0.0","0.0","7634.0"
"8","173548.0","156350.0","0.0","0.0","0.0","20996.0"
