"Week","WhiteBread","Ham","Onion","Pickle","Tuna","Spread"
"1","100000.0","100000.0","0.0","0.0","0.0","100000.0"
"1","209960.0","84500.0","0.0","0.0","0.0","0.0"
"2","293920.0","134000.0","0.0","0.0","0.0","0.0"
"3","227600.0","175000.0","0.0","0.0","0.0","0.0"
"4","202480.0","166000.0","0.0","0.0","0.0","0.0"
"5","275600.0","125000.0","0.0","0.0","0.0","0.0"
"6","293956.0","125450.0","0.0","0.0","0.0","0.0"
"7","228356.0","170450.0","0.0","0.0","0.0","7394.0"
"8","175228.0","158350.0","0.0","0.0","0.0","20996.0"
