"Week","WhiteBread","Ham","Onion","Pickle","Tuna","Spread"
"1","100000.0","100000.0","0.0","0.0","0.0","100000.0"
"1","68000.0","0.0","0.0","0.0","0.0","0.0"
"2","110800.0","85000.0","0.0","0.0","0.0","0.0"
"3","52880.0","91000.0","0.0","0.0","0.0","0.0"
"4","103280.0","47000.0","0.0","0.0","0.0","0.0"
"5","117600.0","6000.0","0.0","0.0","0.0","0.0"
"6","98320.0","56000.0","0.0","0.0","0.0","0.0"
"7","14320.0","70000.0","0.0","0.0","0.0","0.0"
"8","84000.0","64000.0","0.0","0.0","0.0","0.0"
