"orderName","numOfOrder","numOfaccept","numOfReject","WhiteBread","WhiteBreadNeed","Ham","HamNeed","OnionNeed","Onion","Pickle","PickleNeed","Tuna","TunaNeed","Spread","SpreadNeed"
"HamSandwich","2500","1190","1310","100000.0","210000.0","100000.0","125000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","15000.0"
"HamSandwich","3800","1190","2610","100000.0","319200.0","100000.0","190000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22800.0"
"HamSandwich","4150","1700","2450","209960.0","348600.0","84500.0","207500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24900.0"
"HamSandwich","4500","2950","1550","319120.0","378000.0","147500.0","225000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","27000.0"
"HamSandwich","4850","3379","1471","281360.0","407400.0","207500.0","242500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","29100.0"
"HamSandwich","5200","3630","1570","304960.0","436800.0","225000.0","260000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","31200.0"
"HamSandwich","5550","2627","2923","407396.0","466200.0","203950.0","277500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","33300.0"
"HamSandwich","5900","2573","3327","436756.0","495600.0","215450.0","295000.0","0.0","0.0","0.0","0.0","0.0","0.0","15434.0","35400.0"
